HIP,Star,Teff,logg,FeH,NaH,MgH,AlH,SiH,CaH,ScIH,ScIIH,TiIH,TiIIH,VH,CrIH,CrIIH,MnH,CoH,NiH
7539,HD10002,5313,4.4,0.170,0.270,0.213,0.300,0.202,0.120,0.360,0.275,0.296,0.185,0.515,0.195,0.117,0.283,0.350,0.216
56278,HD100289,5483,4.42,0.030,0.135,0.063,0.100,0.051,0.018,0.087,0.083,0.105,0.008,0.223,0.032,0.013,0.113,0.141,0.060
56363,HD100508,5449,4.42,0.390,0.600,0.363,0.460,0.433,0.294,0.557,0.557,0.471,0.502,0.709,0.408,0.340,0.533,0.634,0.482
56572,HD100777,5536,4.33,0.250,0.400,0.287,0.330,0.336,0.215,0.323,0.318,0.287,0.325,0.415,0.261,0.210,0.398,0.383,0.316
56884,HD101339,5731,4.48,-0.100,-0.095,-0.093,-0.095,-0.086,-0.078,-0.127,-0.098,-0.078,-0.077,-0.081,-0.088,-0.100,-0.080,-0.093,-0.120
56907,HD101367,5615,4.38,0.290,0.495,0.297,0.375,0.320,0.234,0.383,0.388,0.326,0.400,0.450,0.281,0.247,0.423,0.489,0.361
56998,HD101581,4738,4.46,-0.520,-0.295,-0.483,-0.260,-0.518,-0.304,0.107,-0.540,-0.129,-0.457,0.133,-0.381,-0.667,-0.600,-0.393,-0.514
57017,HD101612,6281,4.41,-0.360,-0.345,-0.377,-0.530,-0.342,-0.293,-0.130,-0.323,-0.301,-0.338,-0.300,-0.380,-0.360,-0.533,-0.315,-0.411
57051,HD101644,5678,4.58,-0.560,-0.485,-0.500,-0.540,-0.521,-0.494,-0.563,-0.505,-0.473,-0.507,-0.558,-0.556,-0.490,-0.685,-0.559,-0.589
57039,HD101650,4626,4.29,-0.450,-0.085,-0.297,0.025,-0.436,-0.093,0.517,-0.363,0.118,-0.342,0.375,-0.253,-0.535,-0.515,-0.214,-0.415
7687,HD10166,5221,4.48,-0.390,-0.325,-0.283,-0.275,-0.340,-0.311,-0.303,-0.422,-0.223,-0.337,-0.198,-0.356,-0.420,-0.450,-0.337,-0.416
7599,HD10180,5911,4.39,0.080,0.170,0.117,0.110,0.110,0.092,0.163,0.142,0.105,0.114,0.095,0.085,0.023,0.100,0.130,0.113
57172,HD101930,5164,4.4,0.130,0.275,0.207,0.235,0.141,0.106,0.343,0.107,0.240,0.240,0.519,0.161,0.070,0.198,0.337,0.156
57291,HD102117,5657,4.31,0.280,0.355,0.313,0.355,0.315,0.255,0.360,0.390,0.322,0.326,0.386,0.281,0.270,0.343,0.401,0.325
57321,HD102136,5349,4.43,-0.090,-0.065,-0.097,-0.095,-0.060,-0.071,-0.053,-0.138,-0.025,-0.130,0.043,-0.066,-0.097,-0.043,-0.064,-0.125
57360,HD102200,6185,4.59,-1.100,-1.240,-0.933,99.990,-0.978,-0.835,99.990,-1.106,-0.823,-0.853,-0.890,-1.017,-1.080,-1.457,-1.270,-1.167
57433,HD102300,5987,4.23,-0.310,-0.235,-0.220,-0.310,-0.247,-0.228,-0.147,-0.260,-0.244,-0.235,-0.323,-0.332,-0.267,-0.433,-0.297,-0.343
57443,HD102365,5629,4.44,-0.290,-0.220,-0.203,-0.160,-0.198,-0.205,-0.200,-0.135,-0.153,-0.148,-0.196,-0.254,-0.287,-0.418,-0.217,-0.283
57507,HD102438,5560,4.41,-0.290,-0.240,-0.190,-0.170,-0.232,-0.212,-0.210,-0.258,-0.190,-0.234,-0.221,-0.260,-0.270,-0.373,-0.250,-0.293
57735,HD102843,5432,4.35,0.160,0.140,0.210,0.270,0.187,0.128,0.243,0.183,0.255,0.182,0.351,0.177,0.113,0.208,0.273,0.176
57931,HD103197,5250,4.45,0.220,0.330,0.243,0.265,0.241,0.152,0.380,0.237,0.297,0.287,0.574,0.222,0.210,0.288,0.433,0.251
58237,HD103720,5017,4.43,-0.020,0.020,-0.073,0.040,0.001,-0.022,0.093,-0.068,0.066,-0.027,0.320,0.007,-0.043,-0.035,0.003,-0.033
58331,HD103891,6072,4.05,-0.190,-0.155,-0.153,-0.210,-0.127,-0.106,-0.123,-0.117,-0.125,-0.102,-0.195,-0.213,-0.180,-0.263,-0.240,-0.218
58374,HD103949,4881,4.48,-0.070,0.090,-0.063,0.100,-0.063,-0.088,0.357,-0.112,0.190,-0.082,0.513,-0.018,-0.127,-0.078,0.087,-0.040
58401,HD104006,5023,4.56,-0.780,-0.650,-0.470,-0.415,-0.551,-0.560,-0.463,-0.597,-0.343,-0.538,-0.349,-0.698,-0.670,-0.963,-0.626,-0.752
58451,HD104067,4969,4.47,-0.060,0.080,-0.017,0.055,-0.033,0.006,0.217,-0.092,0.081,-0.060,0.361,-0.017,-0.060,-0.083,0.047,-0.049
58558,HD104263,5477,4.34,0.020,0.030,0.137,0.155,0.071,0.035,0.113,0.078,0.138,0.083,0.180,0.034,-0.040,0.065,0.127,0.040
58813,HD104760A,5953,4.43,0.120,0.165,0.110,0.135,0.106,0.123,0.130,0.137,0.094,0.136,0.125,0.127,0.120,0.133,0.129,0.135
58843,HD104800,5697,4.47,-0.790,-0.690,-0.483,-0.550,-0.543,-0.515,-0.570,-0.647,-0.511,-0.512,-0.691,-0.783,-0.693,-1.050,-0.683,-0.779
58950,HD104982,5692,4.44,-0.190,-0.165,-0.120,-0.115,-0.169,-0.149,-0.143,-0.155,-0.134,-0.173,-0.171,-0.188,-0.200,-0.305,-0.173,-0.199
58962,HD105004,5756,4.33,-0.810,-0.900,-0.697,-0.865,-0.719,-0.663,-0.710,-0.838,-0.719,-0.743,-0.868,-0.829,-0.763,-1.088,-0.682,-0.873
59296,HD105671,4748,4.42,-0.020,0.080,-0.050,0.230,-0.032,0.044,0.520,-0.060,0.224,-0.088,0.513,0.041,-0.090,-0.183,0.143,0.016
59357,HD105779,5792,4.51,-0.250,-0.225,-0.217,-0.215,-0.220,-0.205,-0.187,-0.233,-0.198,-0.227,-0.254,-0.251,-0.250,-0.333,-0.261,-0.262
59380,HD105837,5907,4.54,-0.510,-0.450,-0.430,-0.520,-0.441,-0.434,-0.450,-0.385,-0.439,-0.427,-0.501,-0.531,-0.527,-0.628,-0.517,-0.513
59448,HD105938,6208,4.27,0.030,-0.035,0.033,0.040,0.066,0.072,-0.110,0.122,0.098,0.123,0.044,0.030,0.023,-0.055,-0.011,0.034
59532,HD106116,5680,4.39,0.140,0.205,0.160,0.185,0.150,0.118,0.197,0.202,0.175,0.168,0.197,0.154,0.097,0.208,0.200,0.174
59639,HD106275,5059,4.47,-0.090,0.000,-0.100,0.025,-0.065,-0.117,0.080,-0.032,0.036,0.033,0.284,-0.099,-0.093,-0.103,-0.014,-0.078
59642,HD106290,6012,4.55,0.130,0.180,0.043,0.145,0.139,0.124,0.153,0.140,0.116,0.138,0.153,0.109,0.157,0.165,0.074,0.141
7978,HD10647,6218,4.62,0.000,-0.095,-0.073,-0.130,-0.019,0.028,0.010,-0.005,0.033,0.012,-0.039,-0.001,0.050,-0.045,-0.116,-0.051
59793,HD106589,5597,4.37,-0.230,-0.220,-0.163,-0.075,-0.189,-0.169,-0.253,-0.115,-0.183,-0.173,-0.218,-0.231,-0.123,-0.268,-0.220,-0.248
8102,HD10700,5310,4.44,-0.520,-0.445,-0.283,-0.270,-0.364,-0.363,-0.333,-0.413,-0.253,-0.350,-0.308,-0.500,-0.517,-0.673,-0.410,-0.513
60051,HD107094,5562,4.54,-0.510,-0.430,-0.457,-0.450,-0.459,-0.431,-0.463,-0.503,-0.399,-0.468,-0.460,-0.490,-0.457,-0.618,-0.506,-0.533
60081,HD107148,5805,4.4,0.310,0.475,0.307,0.340,0.296,0.277,0.390,0.387,0.328,0.330,0.384,0.308,0.323,0.398,0.407,0.371
60591,HD108063,6081,4.11,0.550,1.010,0.537,0.590,0.586,0.478,0.623,0.742,0.543,0.613,0.609,0.514,0.610,0.688,0.640,0.619
60644,HD108147,6260,4.47,0.180,0.105,0.097,0.055,0.174,0.193,0.180,0.195,0.190,0.163,0.247,0.169,0.147,0.108,0.096,0.152
60729,HD108309,5775,4.23,0.120,0.185,0.153,0.170,0.145,0.114,0.177,0.178,0.142,0.148,0.138,0.134,0.107,0.138,0.166,0.135
60788,HD108341,5122,4.45,0.040,0.080,0.027,0.120,0.085,-0.026,0.177,0.052,0.141,0.042,0.403,0.029,0.020,0.070,0.181,0.070
60853,HD108564,4818,4.67,-0.970,-0.835,-0.727,-0.630,-0.853,-0.691,-0.400,-0.878,-0.431,-0.818,-0.305,-0.843,-1.015,-1.173,-0.771,-0.969
60973,HD108768,5633,4.45,0.140,0.175,0.100,0.130,0.118,0.120,0.140,0.158,0.158,0.117,0.213,0.147,0.127,0.218,0.195,0.146
