Star,Teff,logg,[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[ScI/H],[ScII/H],[TiI/H],[TiII/H],[V/H],[CrI/H],[CrII/H],[Mn/H],[Co/H],[Ni/H]
BD+062932,5272,4.43,-0.84,-1.280,-0.827,-0.840,-0.807,-0.677,-0.920,-0.842,-0.693,-0.782,-0.899,-0.824,-0.793,-1.148,-0.889,-1.000
BD+063077,6136,4.95,-0.36,-0.600,-0.330,0.030,-0.301,-0.359,0.243,-0.180,0.161,-0.092,0.037,-0.071,-0.610,-0.663,-0.161,-0.353
BD+083095,5728,4.12,-0.77,-0.685,-0.513,-0.670,-0.546,-0.460,-0.570,-0.655,-0.466,-0.503,-0.766,-0.738,-0.710,-1.058,-0.609,-0.769
BD-002387,4833,4.47,0.03,0.315,-0.147,0.225,0.066,0.099,0.553,0.023,0.298,-0.010,0.645,0.104,-0.093,0.045,0.176,0.056
BD-010184,4728,4.34,-0.34,-0.120,-0.323,0.050,-0.328,-0.257,0.170,-0.403,-0.007,-0.275,0.278,-0.229,-0.287,-0.403,-0.183,-0.326
BD-012505,4741,4.51,-0.11,0.140,-0.143,0.145,-0.109,-0.002,0.683,-0.085,0.298,-0.097,0.599,0.016,-0.300,-0.098,0.119,-0.038
BD-033746,4732,4.63,-0.90,-0.565,-0.823,-0.520,-1.012,-0.508,0.080,-0.795,-0.210,-0.752,-0.009,-0.651,-1.050,-1.030,-0.683,-0.916
BD-034797,4622,4.21,0.06,0.465,0.057,0.400,0.041,0.074,0.837,-0.015,0.387,0.150,0.710,0.099,-0.137,0.095,0.333,0.136
BD-044138,4604,4.39,-0.11,0.280,-0.117,0.245,-0.136,0.034,0.683,-0.148,0.209,-0.092,0.525,-0.079,-0.337,-0.158,0.196,-0.027
BD-050484,4674,4.42,-0.39,-0.190,-0.143,-0.075,-0.382,-0.268,0.403,-0.368,0.069,-0.145,0.333,-0.249,-0.435,-0.478,-0.233,-0.375
BD-050578,5470,4.39,0.09,0.130,0.073,0.140,0.091,0.068,0.090,0.090,0.128,0.013,0.239,0.103,0.117,0.180,0.186,0.100
BD-053176,4758,4.39,-0.09,0.240,-0.110,0.220,-0.129,-0.071,0.583,-0.073,0.217,-0.035,0.484,-0.001,-0.177,-0.098,0.097,-0.046
BD-053596,4594,4.32,-0.34,-0.160,-0.403,0.010,-0.430,-0.135,0.293,-0.420,-0.015,-0.242,0.245,-0.234,-0.603,-0.573,-0.249,-0.355
BD-054065,4895,4.41,-0.29,-0.245,-0.233,-0.205,-0.264,-0.273,-0.150,-0.343,-0.111,-0.347,0.110,-0.268,-0.407,-0.373,-0.280,-0.328
BD-060904,5066,4.46,-0.17,-0.100,-0.100,-0.035,-0.141,-0.111,0.013,-0.152,0.011,-0.128,0.235,-0.127,-0.090,-0.175,-0.027,-0.166
BD-063481,4815,4.36,-0.14,0.075,-0.123,0.020,-0.097,-0.115,0.233,-0.128,0.075,-0.198,0.395,-0.096,-0.150,-0.128,0.014,-0.112
BD-064196,4688,4.30,-0.03,-0.005,-0.123,0.015,-0.039,-0.019,0.227,-0.122,0.090,-0.055,0.408,-0.053,-0.130,-0.108,0.028,-0.069
BD-064756,4646,4.54,-0.23,-0.110,-0.310,-0.160,-0.295,-0.128,0.293,-0.252,0.013,-0.155,0.360,-0.211,-0.367,-0.415,-0.174,-0.240
BD-082534,5405,4.43,-0.78,-0.740,-0.550,-0.655,-0.608,-0.578,-0.593,-0.652,-0.516,-0.592,-0.668,-0.727,-0.667,-0.988,-0.571,-0.798
BD-082823,4816,4.43,-0.06,0.140,-0.133,0.110,-0.032,0.041,0.390,-0.138,0.144,-0.138,0.473,-0.004,-0.147,-0.075,0.073,-0.023
BD-084501,6216,4.81,-1.39,-1.460,-1.090,99.99,-1.031,-1.044,99.99,-1.238,-0.745,-0.887,-0.680,-1.067,-1.187,-1.430,-0.663,-0.991
BD-090872,4660,4.35,-0.19,-0.070,-0.263,-0.160,-0.222,-0.005,0.220,-0.297,0.033,-0.082,0.340,-0.129,-0.437,-0.395,-0.153,-0.230
BD-091261,4717,4.69,-0.75,-0.525,-0.720,-0.390,-0.848,-0.496,0.013,-0.784,-0.257,-0.702,-0.046,-0.556,-0.990,-0.913,-0.561,-0.760
BD-092670,4806,4.46,-0.08,0.010,-0.127,0.005,-0.121,-0.029,0.297,-0.092,0.141,-0.033,0.476,-0.076,-0.083,-0.095,0.046,-0.079
BD-094191,4804,4.44,-0.32,-0.165,-0.343,-0.130,-0.322,-0.135,0.110,-0.407,-0.019,-0.352,0.204,-0.205,-0.367,-0.375,-0.199,-0.316
BD-112763,4911,4.44,-0.26,-0.315,-0.223,-0.160,-0.273,-0.252,-0.137,-0.317,-0.086,-0.322,0.146,-0.213,-0.280,-0.313,-0.227,-0.292
BD-120327,4680,4.35,-0.34,0.015,-0.173,0.175,-0.296,-0.238,0.453,-0.250,0.110,-0.162,0.363,-0.175,-0.393,-0.485,-0.110,-0.285
BD-123458,4803,4.86,-0.83,-0.465,-0.623,-0.265,-0.799,-0.440,0.200,-0.667,-0.088,-0.648,0.092,-0.589,-0.935,-1.105,-0.625,-0.807
BD-130116,4615,4.33,-0.49,-0.075,-0.553,-0.010,-0.510,-0.138,0.473,-0.540,0.018,-0.445,0.371,-0.315,-0.725,-0.870,-0.293,-0.431
BD-130321,4772,4.41,0.02,0.345,-0.020,0.345,0.036,0.083,0.737,0.022,0.339,0.097,0.643,0.108,-0.157,0.015,0.254,0.057
BD-131161,5389,4.37,0.09,0.115,0.147,0.460,0.076,0.051,0.153,0.068,0.140,0.076,0.283,0.069,0.023,0.203,0.194,0.111
BD-140184,4714,4.32,-0.38,-0.200,-0.090,0.030,-0.408,-0.160,0.067,-0.507,-0.061,-0.345,0.194,-0.234,-0.490,-0.408,-0.256,-0.397
BD-145003,4640,4.41,-0.51,0.420,-0.463,-0.240,-0.459,-0.324,0.177,-0.453,-0.114,-0.432,0.200,-0.395,-0.395,-0.520,-0.386,-0.495
BD-160308,5183,4.48,-0.41,-0.330,-0.357,-0.210,-0.358,-0.347,-0.273,-0.363,-0.224,-0.362,-0.173,-0.372,-0.387,-0.470,-0.377,-0.424
BD-160931,4840,4.38,-0.11,-0.090,-0.243,-0.090,-0.067,-0.080,0.083,-0.188,0.046,-0.093,0.320,-0.094,-0.087,-0.140,-0.030,-0.134
BD-170063,4665,4.19,0.01,0.320,0.110,0.335,0.051,0.127,0.630,-0.003,0.265,-0.112,0.583,0.053,-0.180,0.043,0.211,0.064
BD-173242,4627,4.48,-0.29,-0.105,-0.363,-0.100,-0.389,-0.138,0.370,-0.305,0.066,-0.310,0.333,-0.208,-0.425,-0.400,-0.174,-0.292
BD-195953,4775,4.51,-0.14,0.015,-0.263,0.065,-0.171,-0.165,0.263,-0.227,0.064,-0.228,0.389,-0.115,-0.243,-0.215,-0.074,-0.124
BD-213153,4622,4.38,-0.17,-0.220,-0.173,-0.050,-0.228,-0.108,0.243,-0.275,-0.002,-0.137,0.335,-0.171,-0.437,-0.320,-0.153,-0.222
BD-223528,4747,4.28,-0.17,0.030,-0.170,0.045,-0.165,-0.106,0.310,-0.187,0.092,-0.202,0.391,-0.144,-0.220,-0.168,0.037,-0.136
CD-2310879,6788,4.67,-0.24,-0.245,-0.253,-0.360,-0.210,-0.174,99.99,-0.182,-0.138,-0.153,-0.175,-0.240,-0.233,-0.420,-0.227,-0.293
CD-436810,6011,4.41,-0.44,-0.245,-0.180,-0.345,-0.258,-0.259,-0.450,-0.293,-0.220,-0.193,-0.330,-0.460,-0.397,-0.638,-0.388,-0.414
CD-4512460,5960,4.42,-0.86,-0.955,-0.683,-0.795,-0.647,-0.589,-0.310,-0.733,-0.507,-0.555,-0.718,-0.795,-0.753,-1.233,-0.516,-0.829
CD-452997,5312,4.39,-0.84,-0.560,-0.357,-0.490,-0.470,-0.456,-0.037,-0.428,-0.146,-0.475,-0.303,-0.486,-0.073,-0.805,0.061,-0.437
CD-571633,5975,4.46,-0.85,-1.220,-0.793,0.010,-0.872,-0.709,-0.520,-1.026,-0.741,-0.770,-0.873,-0.833,-0.833,-1.188,-1.060,-1.005
HD10002,5313,4.40,0.17,0.270,0.213,0.300,0.202,0.120,0.360,0.275,0.296,0.185,0.515,0.195,0.117,0.283,0.350,0.216
HD100289,5483,4.42,0.03,0.135,0.063,0.100,0.051,0.018,0.087,0.083,0.105,0.008,0.223,0.032,0.013,0.113,0.141,0.060
HD100508,5449,4.42,0.39,0.600,0.363,0.460,0.433,0.294,0.557,0.557,0.471,0.502,0.709,0.408,0.340,0.533,0.634,0.482
HD100777,5536,4.33,0.25,0.400,0.287,0.330,0.336,0.215,0.323,0.318,0.287,0.325,0.415,0.261,0.210,0.398,0.383,0.316
HD101339,5731,4.48,-0.10,-0.095,-0.093,-0.095,-0.086,-0.078,-0.127,-0.098,-0.078,-0.077,-0.081,-0.088,-0.100,-0.080,-0.093,-0.120
HD101367,5615,4.38,0.29,0.495,0.297,0.375,0.320,0.234,0.383,0.388,0.326,0.400,0.450,0.281,0.247,0.423,0.489,0.361
HD101581,4738,4.46,-0.52,-0.295,-0.483,-0.260,-0.518,-0.304,0.107,-0.540,-0.129,-0.457,0.133,-0.381,-0.667,-0.600,-0.393,-0.514
HD101612,6281,4.41,-0.36,-0.345,-0.377,-0.530,-0.342,-0.293,-0.130,-0.323,-0.301,-0.338,-0.300,-0.380,-0.360,-0.533,-0.315,-0.411
HD101644,5678,4.58,-0.56,-0.485,-0.500,-0.540,-0.521,-0.494,-0.563,-0.505,-0.473,-0.507,-0.558,-0.556,-0.490,-0.685,-0.559,-0.589
HD101650,4626,4.29,-0.45,-0.085,-0.297,0.025,-0.436,-0.093,0.517,-0.363,0.118,-0.342,0.375,-0.253,-0.535,-0.515,-0.214,-0.415
HD10166,5221,4.48,-0.39,-0.325,-0.283,-0.275,-0.340,-0.311,-0.303,-0.422,-0.223,-0.337,-0.198,-0.356,-0.420,-0.450,-0.337,-0.416
HD10180,5911,4.39,0.08,0.170,0.117,0.110,0.110,0.092,0.163,0.142,0.105,0.114,0.095,0.085,0.023,0.100,0.130,0.113
HD101930,5164,4.40,0.13,0.275,0.207,0.235,0.141,0.106,0.343,0.107,0.240,0.240,0.519,0.161,0.070,0.198,0.337,0.156
HD102117,5657,4.31,0.28,0.355,0.313,0.355,0.315,0.255,0.360,0.390,0.322,0.326,0.386,0.281,0.270,0.343,0.401,0.325
HD102136,5349,4.43,-0.09,-0.065,-0.097,-0.095,-0.060,-0.071,-0.053,-0.138,-0.025,-0.130,0.043,-0.066,-0.097,-0.043,-0.064,-0.125
HD102200,6185,4.59,-1.10,-1.240,-0.933,99.99,-0.978,-0.835,99.99,-1.106,-0.823,-0.853,-0.890,-1.017,-1.080,-1.457,-1.270,-1.167
HD102300,5987,4.23,-0.31,-0.235,-0.220,-0.310,-0.247,-0.228,-0.147,-0.260,-0.244,-0.235,-0.323,-0.332,-0.267,-0.433,-0.297,-0.343
HD102365,5629,4.44,-0.29,-0.220,-0.203,-0.160,-0.198,-0.205,-0.200,-0.135,-0.153,-0.148,-0.196,-0.254,-0.287,-0.418,-0.217,-0.283
HD102438,5560,4.41,-0.29,-0.240,-0.190,-0.170,-0.232,-0.212,-0.210,-0.258,-0.190,-0.234,-0.221,-0.260,-0.270,-0.373,-0.250,-0.293
HD102843,5432,4.35,0.16,0.140,0.210,0.270,0.187,0.128,0.243,0.183,0.255,0.182,0.351,0.177,0.113,0.208,0.273,0.176
HD103197,5250,4.45,0.22,0.330,0.243,0.265,0.241,0.152,0.380,0.237,0.297,0.287,0.574,0.222,0.210,0.288,0.433,0.251
HD103720,5017,4.43,-0.02,0.020,-0.073,0.040,0.001,-0.022,0.093,-0.068,0.066,-0.027,0.320,0.007,-0.043,-0.035,0.003,-0.033
HD103891,6072,4.05,-0.19,-0.155,-0.153,-0.210,-0.127,-0.106,-0.123,-0.117,-0.125,-0.102,-0.195,-0.213,-0.180,-0.263,-0.240,-0.218
HD103949,4881,4.48,-0.07,0.090,-0.063,0.100,-0.063,-0.088,0.357,-0.112,0.190,-0.082,0.513,-0.018,-0.127,-0.078,0.087,-0.040
HD104006,5023,4.56,-0.78,-0.650,-0.470,-0.415,-0.551,-0.560,-0.463,-0.597,-0.343,-0.538,-0.349,-0.698,-0.670,-0.963,-0.626,-0.752
HD104067,4969,4.47,-0.06,0.080,-0.017,0.055,-0.033,0.006,0.217,-0.092,0.081,-0.060,0.361,-0.017,-0.060,-0.083,0.047,-0.049
HD104263,5477,4.34,0.02,0.030,0.137,0.155,0.071,0.035,0.113,0.078,0.138,0.083,0.180,0.034,-0.040,0.065,0.127,0.040
HD104760A,5953,4.43,0.12,0.165,0.110,0.135,0.106,0.123,0.130,0.137,0.094,0.136,0.125,0.127,0.120,0.133,0.129,0.135
HD104800,5697,4.47,-0.79,-0.690,-0.483,-0.550,-0.543,-0.515,-0.570,-0.647,-0.511,-0.512,-0.691,-0.783,-0.693,-1.050,-0.683,-0.779
HD104982,5692,4.44,-0.19,-0.165,-0.120,-0.115,-0.169,-0.149,-0.143,-0.155,-0.134,-0.173,-0.171,-0.188,-0.200,-0.305,-0.173,-0.199
HD105004,5756,4.33,-0.81,-0.900,-0.697,-0.865,-0.719,-0.663,-0.710,-0.838,-0.719,-0.743,-0.868,-0.829,-0.763,-1.088,-0.682,-0.873
HD105671,4748,4.42,-0.02,0.080,-0.050,0.230,-0.032,0.044,0.520,-0.060,0.224,-0.088,0.513,0.041,-0.090,-0.183,0.143,0.016
HD105779,5792,4.51,-0.25,-0.225,-0.217,-0.215,-0.220,-0.205,-0.187,-0.233,-0.198,-0.227,-0.254,-0.251,-0.250,-0.333,-0.261,-0.262
HD105837,5907,4.54,-0.51,-0.450,-0.430,-0.520,-0.441,-0.434,-0.450,-0.385,-0.439,-0.427,-0.501,-0.531,-0.527,-0.628,-0.517,-0.513
HD105938,6208,4.27,0.03,-0.035,0.033,0.040,0.066,0.072,-0.110,0.122,0.098,0.123,0.044,0.030,0.023,-0.055,-0.011,0.034
HD106116,5680,4.39,0.14,0.205,0.160,0.185,0.150,0.118,0.197,0.202,0.175,0.168,0.197,0.154,0.097,0.208,0.200,0.174
HD106275,5059,4.47,-0.09,0.000,-0.100,0.025,-0.065,-0.117,0.080,-0.032,0.036,0.033,0.284,-0.099,-0.093,-0.103,-0.014,-0.078
HD106290,6012,4.55,0.13,0.180,0.043,0.145,0.139,0.124,0.153,0.140,0.116,0.138,0.153,0.109,0.157,0.165,0.074,0.141
HD10647,6218,4.62,0.00,-0.095,-0.073,-0.130,-0.019,0.028,0.010,-0.005,0.033,0.012,-0.039,-0.001,0.050,-0.045,-0.116,-0.051
HD106589,5597,4.37,-0.23,-0.220,-0.163,-0.075,-0.189,-0.169,-0.253,-0.115,-0.183,-0.173,-0.218,-0.231,-0.123,-0.268,-0.220,-0.248
