HIP,Teff,logg,FeH,OH,NaH,MgH,AlH,SiH,CaH,TiH,CrH,NiH,ZnH,YH,BaH
80,5856,4.10,-0.59,0.42,0.08,0.29,0.25,0.16,0.17,0.20,-0.04,-0.02,0.13,-0.13,-0.09
305,5607,4.01,0.18,0.04,0.01,0.11,0.13,0.05,0.03,0.02,-0.02,0.01,0.20,-0.16,-0.02
407,5655,4.37,0.12,-0.05,-0.01,-0.01,-0.04,0.02,0.01,-0.03,0.03,0.01,-0.02,0.00,0.01
699,6203,4.07,-0.23,99.99,0.05,0.06,0.02,0.05,0.08,0.01,-0.04,-0.03,-0.06,-0.09,0.17
768,5716,4.31,0.03,0.13,0.08,0.08,0.04,0.05,0.04,0.03,0.02,-0.01,-0.08,-0.06,-0.05
910,6289,4.17,-0.33,99.99,0.09,0.03,0.03,0.07,0.09,0.10,-0.02,0.00,-0.08,-0.06,0.18
950,6547,4.14,-0.02,0.00,0.00,-0.06,-0.02,0.00,0.09,-0.02,-0.04,-0.07,-0.14,0.04,0.35
1128,5522,4.37,-0.64,0.67,0.05,0.41,0.34,0.23,0.23,0.32,0.09,0.01,0.22,0.09,-0.05
1349,5705,4.47,-0.54,0.20,0.04,0.13,0.06,0.05,0.12,0.10,0.04,-0.04,0.00,-0.02,0.01
1599,5932,4.33,-0.19,0.00,0.00,0.05,0.08,0.05,0.06,0.05,-0.01,-0.03,-0.04,-0.03,0.11
1746,5473,4.48,-0.47,0.50,0.03,0.34,0.27,0.20,0.14,0.23,0.03,0.02,0.20,0.01,-0.07
1877,5089,3.42,-0.30,0.02,0.07,0.19,0.18,0.11,0.10,0.10,0.01,0.01,0.03,0.00,0.07
1931,5990,4.45,0.34,-0.25,0.08,0.02,0.02,0.02,-0.01,0.03,0.00,0.03,-0.12,-0.05,-0.03
1955,6024,4.31,-0.01,-0.06,0.02,0.07,0.02,0.00,0.03,0.02,-0.01,-0.02,-0.34,-0.05,0.02
1976,5982,4.32,0.19,-0.15,-0.01,0.08,0.04,0.02,0.00,-0.05,-0.03,-0.03,0.08,-0.21,0.00
2021,5852,3.91,-0.07,-0.01,0.06,0.08,0.12,0.03,0.02,0.01,-0.02,-0.02,0.04,-0.12,0.03
2057,5248,3.61,-0.18,0.03,0.02,0.14,0.12,0.07,0.07,0.02,0.01,0.00,0.09,-0.03,-0.01
2194,5211,4.50,-0.60,0.55,0.02,0.25,0.26,0.24,0.13,0.24,0.03,0.04,0.32,0.08,-0.04
2235,6595,4.07,-0.29,99.99,0.10,0.05,-0.07,0.06,0.13,0.06,-0.08,-0.04,-0.09,0.61,0.82
2319,6396,3.97,-0.55,0.21,0.10,0.24,0.05,0.10,0.12,0.13,-0.03,-0.05,0.04,-0.06,0.14
2711,6499,4.22,0.06,-0.05,0.09,-0.01,-0.03,0.01,0.14,-0.02,-0.02,-0.07,-0.07,0.07,0.20
