HIP,HD,Teff,logg,Fe/H,O/H,Na/H,Mg/H,Al/H,Si/H,Ca/H,Ti/H,Cr/H,Ni/H,Zn/H,Y/H,Ba/H
    80,224817,5856, 4.10,-0.59,-0.17,-0.51,-0.30,-0.34,-0.43,-0.42,-0.39,-0.63,-0.61,-0.46,-0.72,-0.68
   305,225155,5607, 4.01,0.18,0.22,0.19,0.29,0.31,0.23,0.21,0.20,0.16,0.19,0.38,0.02,0.16
   407,225299,5655, 4.37,0.12,0.07,0.11,0.11,0.08,0.14,0.13,0.09,0.15,0.13,0.10,0.12,0.13
   699,400,6203, 4.07,-0.23,99.76,-0.18,-0.17,-0.21,-0.18,-0.15,-0.22,-0.27,-0.26,-0.29,-0.32,-0.06
   768,489,5716, 4.31,0.03,0.16,0.11,0.11,0.07,0.08,0.07,0.06,0.05,0.02,-0.05,-0.03,-0.02
   910,693,6289, 4.17,-0.33,99.66,-0.24,-0.30,-0.30,-0.26,-0.24,-0.23,-0.35,-0.33,-0.41,-0.39,-0.15
   950,739,6547, 4.14,-0.02,-0.02,-0.02,-0.08,-0.04,-0.02,0.07,-0.04,-0.06,-0.09,-0.16,0.02,0.33
  1128,967,5522, 4.37,-0.64,0.03,-0.59,-0.23,-0.30,-0.41,-0.41,-0.32,-0.55,-0.63,-0.42,-0.55,-0.69
  1349,1273,5705, 4.47,-0.54,-0.34,-0.50,-0.41,-0.48,-0.49,-0.42,-0.44,-0.50,-0.58,-0.54,-0.56,-0.53
  1599,1581,5932, 4.33,-0.19,-0.19,-0.19,-0.14,-0.11,-0.14,-0.13,-0.14,-0.20,-0.22,-0.23,-0.22,-0.08
  1746,1779,5473, 4.48,-0.47,0.03,-0.44,-0.13,-0.20,-0.27,-0.33,-0.24,-0.44,-0.45,-0.27,-0.46,-0.54
  1877,1985,5089, 3.42,-0.30,-0.28,-0.23,-0.11,-0.12,-0.19,-0.20,-0.20,-0.29,-0.29,-0.27,-0.30,-0.23
  1931,2039,5990, 4.45,0.34,0.09,0.42,0.36,0.36,0.36,0.33,0.37,0.34,0.37,0.22,0.29,0.31
  1955,2070,6024, 4.31,-0.01,-0.07,0.01,0.06,0.01,-0.01,0.02,0.01,-0.02,-0.03,-0.35,-0.06,0.01
  1976,2098,5982, 4.32,0.19,0.04,0.18,0.27,0.23,0.21,0.19,0.14,0.16,0.16,0.27,-0.02,0.19
  2021,2151,5852, 3.91,-0.07,-0.08,-0.01,0.01,0.05,-0.04,-0.05,-0.06,-0.09,-0.09,-0.03,-0.19,-0.04
  2057,2221,5248, 3.61,-0.18,-0.15,-0.16,-0.04,-0.06,-0.11,-0.11,-0.16,-0.17,-0.18,-0.09,-0.21,-0.19
  2194,2404,5211, 4.50,-0.60,-0.05,-0.58,-0.35,-0.34,-0.36,-0.47,-0.36,-0.57,-0.56,-0.28,-0.52,-0.64
  2235,2454,6595, 4.07,-0.29,99.70,-0.19,-0.24,-0.36,-0.23,-0.16,-0.23,-0.37,-0.33,-0.38,0.32,0.53
  2319,2615,6396, 3.97,-0.55,-0.34,-0.45,-0.31,-0.50,-0.45,-0.43,-0.42,-0.58,-0.60,-0.51,-0.61,-0.41
  2711,3158,6499, 4.22,0.06,0.01,0.15,0.05,0.03,0.07,0.20,0.04,0.04,-0.01,-0.01,0.13,0.26
  2743,3222,4991, 4.57,-0.41,-0.06,-0.46,-0.11,-0.18,-0.26,-0.23,-0.05,-0.30,-0.37,-0.35,-0.11,-0.46
  2787,3229,6583, 3.87,-0.11,99.88,-0.12,-0.14,-0.17,-0.11,-0.01,-0.08,-0.14,-0.18,-0.26,-0.11,0.46
  2909,3403,5743, 4.07,-0.15,0.07,-0.12,0.12,0.02,-0.04,-0.07,-0.01,-0.17,-0.16,-0.02,-0.28,-0.25
  3026,3567,6157, 4.19,-1.13,98.86,-1.34,-1.00,98.86,-1.00,-0.87,-0.86,-1.11,-1.23,-1.12,-1.22,-1.24
  3086,3628,5825, 4.34,-0.10,-0.02,-0.14,-0.03,0.00,-0.09,-0.05,0.05,-0.10,-0.12,-0.01,-0.18,-0.11
  3142,3735,6198, 4.18,-0.38,-0.30,-0.31,-0.26,-0.30,-0.34,-0.28,-0.28,-0.38,-0.41,-0.45,-0.48,-0.36
  3170,3823,5963, 4.05,-0.24,-0.12,-0.24,-0.03,-0.09,-0.18,-0.15,-0.17,-0.21,-0.26,-0.26,-0.38,-0.21
  3182,3810,5643, 4.32,-0.29,0.14,-0.24,-0.03,-0.04,-0.12,-0.17,-0.06,-0.26,-0.26,-0.17,-0.31,-0.41
  3185,3795,5335, 3.88,-0.59,-0.08,-0.46,-0.32,-0.25,-0.37,-0.36,-0.26,-0.52,-0.56,-0.38,-0.46,-0.47
  3391,4113,5600, 4.30,0.16,0.13,0.28,0.19,0.21,0.22,0.16,0.16,0.17,0.22,0.41,0.09,0.13
  3479,4208,5563, 4.40,-0.26,0.00,-0.29,-0.14,-0.15,-0.20,-0.25,-0.18,-0.24,-0.30,-0.21,-0.32,-0.39
  3497,4308,5638, 4.41,-0.32,0.07,-0.30,-0.11,-0.07,-0.18,-0.21,-0.09,-0.28,-0.30,-0.18,-0.40,-0.45
  3704,4597,6078, 4.40,-0.35,-0.28,-0.35,-0.31,-0.28,-0.35,-0.30,-0.26,-0.37,-0.38,-0.30,-0.43,-0.29
  3734,4607,6225, 3.99,-0.06,0.02,-0.06,0.10,-0.06,-0.04,-0.01,-0.04,-0.09,-0.13,-0.18,-0.02,0.11
  3909,4813,6352, 4.45,-0.03,99.96,-0.11,-0.07,-0.08,-0.08,0.00,-0.03,-0.08,-0.09,-0.16,0.00,0.13
  4830,6168,6046, 4.16,0.12,0.00,0.18,0.23,0.16,0.13,0.12,0.09,0.08,0.11,0.16,0.04,0.05
  4892,6234,5994, 4.42,-0.29,-0.26,-0.28,-0.23,-0.21,-0.27,-0.24,-0.27,-0.32,-0.33,-0.21,-0.37,-0.23
  5054,6434,5768, 4.33,-0.62,-0.06,-0.51,-0.23,-0.33,-0.37,-0.38,-0.34,-0.61,-0.59,-0.21,-0.33,-0.22
  5264,6753,5720, 3.83,0.00,-0.05,0.03,0.11,0.06,0.02,0.04,-0.02,-0.05,-0.02,0.26,-0.06,0.01
