HIP,HD,Teff,logg,NaH,SiH,TiH,FeH,NiH
400,HD225261,5265,4.59,-0.35,-0.25,-0.28,-0.44,-0.43
490,HD105,6126,4.65,-0.2,-0.02,0.05,0.08,-0.06
522,HD142,6249,4.19,0.07,0.1,0.07,0.1,0.04
544,HD166,5577,4.58,0.1,0.08,0.11,0.18,0.11
616,HD283,5094,4.57,-0.56,-0.38,-0.45,-0.55,-0.56
682,HD377,5873,4.28,0,0.05,0.07,0.15,0.04
699,HD400,6152,4.19,-0.3,-0.17,-0.14,-0.21,-0.29
795,HD531,5778,4.71,0.05,0.1,0.24,0.21,0.07
919,HD691,5633,4.66,0.18,0.2,0.26,0.32,0.23
1134,HD984,6490,4.83,-0.06,0.05,-0.03,0.09,0.01
1444,HD1388,5952,4.42,-0.09,-0.01,0.02,0,-0.04
1499,HD1461,5765,4.41,0.29,0.19,0.17,0.18,0.22
1599,HD1581,5948,4.46,-0.22,-0.15,-0.15,-0.22,-0.24
1803,HD1835,5837,4.47,0.26,0.19,0.13,0.25,0.2
1813,HD1832,5731,4.27,-0.07,-0.04,-0.04,-0.03,-0.06
1931,HD2039,5941,4.38,0.41,0.33,0.25,0.32,0.34
1936,HD2025,4865,4.61,-0.27,-0.19,-0.24,-0.29,-0.33
1954,HD2071,5693,4.46,-0.11,-0.07,-0.11,-0.09,-0.12
2021,HD2151,5873,4.08,-0.05,-0.06,-0.02,-0.07,-0.08
2282,HD2587,5572,4.36,0.28,0.27,0.18,0.26,0.31
2422,HD2589,5120,3.96,-0.11,-0.06,0.03,-0.04,-0.06
2663,HD3074,5911,4.12,-0.01,0.02,-0.03,0,-0.02
2712,HD3079,6071,4.24,-0.05,-0.03,-0.02,-0.08,-0.11
2790,HD3277,5539,4.47,-0.05,-0.05,-0.08,-0.07,-0.08
3093,HD3651,5221,4.45,0.24,0.13,0.11,0.16,0.16
3119,HD3674,6209,4.28,0.01,0.09,0.06,0.09,0.03
3169,HD3770,6111,4.10,-0.02,0,0.03,-0.01,-0.05
3170,HD3823,6014,4.23,-0.29,-0.21,-0.14,-0.27,-0.3
3185,HD3795,5369,4.16,-0.47,-0.36,-0.26,-0.58,-0.54
3203,HD3821,5828,4.46,-0.19,-0.09,-0.07,-0.06,-0.15
3206,HD3765,5032,4.59,0.21,0.16,0.09,0.18,0.14
3236,HD3861,6223,4.26,-0.03,0.08,0.06,0.08,0.01
3479,HD4208,5600,4.52,-0.27,-0.21,-0.23,-0.28,-0.31
3497,HD4308,5695,4.58,-0.24,-0.12,-0.09,-0.31,-0.27
3502,HD4203,5702,4.36,0.5,0.4,0.4,0.45,0.47
3535,HD4256,4930,4.80,0.27,0.29,0.24,0.34,0.32
3540,HD4271,6149,4.28,0.01,0.02,0.02,0.02,-0.04
